System check identified some issues:

WARNINGS:
?: (1_7.W001) MIDDLEWARE_CLASSES is not set.
	HINT: Django 1.7 changed the global defaults for the MIDDLEWARE_CLASSES. django.contrib.sessions.middleware.SessionMiddleware, django.contrib.auth.middleware.AuthenticationMiddleware, and django.contrib.messages.middleware.MessageMiddleware were removed from the defaults. If your project needs these middleware then you should configure this setting.
2020-03-25 03:45:00,133 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:50:00 UTC)" (scheduled at 2020-03-25 03:45:00+00:00)
2020-03-25 03:45:00,292 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:50:00 UTC)" executed successfully
2020-03-25 03:50:00,020 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:55:00 UTC)" (scheduled at 2020-03-25 03:50:00+00:00)
2020-03-25 03:50:00,070 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 03:55:00 UTC)" executed successfully
2020-03-25 03:55:00,013 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:00:00 UTC)" (scheduled at 2020-03-25 03:55:00+00:00)
2020-03-25 03:55:00,051 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:00:00 UTC)" executed successfully
2020-03-25 04:00:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:05:00 UTC)" (scheduled at 2020-03-25 04:00:00+00:00)
2020-03-25 04:00:00,048 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:05:00 UTC)" executed successfully
2020-03-25 04:05:00,006 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:05:00 UTC)" (scheduled at 2020-03-25 04:05:00+00:00)
2020-03-25 04:05:00,061 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:10:00 UTC)" executed successfully
2020-03-25 04:10:00,020 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:15:00 UTC)" (scheduled at 2020-03-25 04:10:00+00:00)
